mold_code,pred,shap_top_feature,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,cast_pressure,sleeve_temperature,low_section_speed,Coolant_temperature
8573,0,,130.0,153.0,234.0,101.0,331.0,477.0,110.0,33.0
8573,0,,129.0,153.0,235.0,101.0,331.0,476.0,110.0,33.0
8573,0,,129.0,154.0,235.0,102.0,331.0,478.0,110.0,33.0
8573,0,,130.0,156.0,236.0,102.0,331.0,477.0,110.0,33.0
8573,0,,131.0,158.0,237.0,103.0,332.0,476.0,110.0,33.0
8573,0,,131.0,158.0,237.0,103.0,331.0,477.0,110.0,33.0
8573,0,,130.0,158.0,237.0,103.0,331.0,480.0,110.0,33.0
8573,0,,131.0,159.0,238.0,103.0,331.0,479.0,110.0,33.0
8573,0,,131.0,159.0,237.0,103.0,331.0,477.0,110.0,33.0
8573,0,,131.0,159.0,238.0,103.0,330.0,477.0,110.0,33.0
8573,0,,131.0,159.0,238.0,103.0,332.0,477.0,110.0,33.0
8573,0,,130.0,158.0,237.0,103.0,331.0,475.0,110.0,33.0
8573,0,,130.0,159.0,237.0,103.0,331.0,476.0,110.0,33.0
8573,0,,130.0,158.0,237.0,103.0,332.0,476.0,110.0,33.0
8573,0,,128.0,158.0,236.0,103.0,331.0,476.0,110.0,33.0
8573,0,,128.0,158.0,236.0,103.0,331.0,476.0,110.0,33.0
8573,0,,128.0,158.0,236.0,103.0,331.0,477.0,110.0,33.0
8573,0,,128.0,159.0,237.0,103.0,331.0,479.0,110.0,33.0
8573,0,,128.0,158.0,237.0,104.0,331.0,477.0,110.0,33.0
8573,0,,128.0,157.0,237.0,104.0,332.0,477.0,110.0,33.0
8573,0,,129.0,159.0,237.0,104.0,331.0,477.0,110.0,34.0
8573,0,,128.0,158.0,237.0,104.0,331.0,476.0,110.0,34.0
8573,0,,94.0,134.0,206.0,88.0,331.0,453.0,110.0,34.0
8573,0,,112.0,144.0,220.0,95.0,331.0,465.0,110.0,33.0
8573,0,,122.0,150.0,228.0,99.0,331.0,472.0,110.0,32.0
8573,0,,126.0,154.0,232.0,101.0,331.0,475.0,110.0,32.0
8573,0,,128.0,157.0,233.0,102.0,331.0,477.0,110.0,32.0
8573,0,,126.0,154.0,234.0,102.0,332.0,479.0,110.0,33.0
8573,0,,126.0,155.0,235.0,103.0,331.0,477.0,110.0,33.0
8573,0,,126.0,155.0,236.0,103.0,331.0,476.0,110.0,33.0
8573,0,,126.0,156.0,236.0,103.0,330.0,477.0,110.0,33.0
8573,0,,126.0,155.0,236.0,103.0,333.0,477.0,110.0,33.0
8573,0,,126.0,156.0,237.0,103.0,331.0,477.0,110.0,33.0
8573,0,,126.0,156.0,237.0,104.0,331.0,477.0,110.0,34.0
8573,0,,127.0,158.0,237.0,104.0,331.0,477.0,110.0,34.0
8573,0,,128.0,159.0,237.0,104.0,331.0,477.0,110.0,34.0
8573,0,,128.0,159.0,238.0,104.0,331.0,477.0,110.0,34.0
8573,0,,128.0,160.0,239.0,105.0,331.0,476.0,110.0,34.0
8573,0,,128.0,158.0,238.0,105.0,331.0,477.0,110.0,34.0
8573,0,,130.0,161.0,239.0,105.0,331.0,478.0,110.0,34.0
8573,0,,129.0,159.0,239.0,105.0,331.0,478.0,110.0,34.0
8573,0,,132.0,163.0,239.0,105.0,331.0,476.0,110.0,34.0
8573,0,,131.0,163.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,130.0,162.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,132.0,164.0,240.0,105.0,331.0,478.0,110.0,34.0
8573,0,,132.0,164.0,239.0,105.0,331.0,478.0,110.0,34.0
8573,0,,130.0,163.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,130.0,163.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,130.0,163.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,129.0,161.0,240.0,105.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,240.0,106.0,331.0,477.0,110.0,34.0
8573,0,,131.0,164.0,240.0,105.0,331.0,477.0,110.0,33.0
8573,0,,130.0,163.0,240.0,105.0,331.0,477.0,110.0,32.0
8573,0,,129.0,162.0,240.0,105.0,331.0,478.0,110.0,33.0
8573,0,,128.0,161.0,239.0,105.0,331.0,479.0,110.0,33.0
8573,0,,131.0,164.0,240.0,106.0,331.0,478.0,110.0,33.0
8573,0,,130.0,163.0,240.0,106.0,331.0,478.0,110.0,34.0
8573,0,,129.0,161.0,240.0,105.0,332.0,478.0,110.0,34.0
8573,0,,129.0,162.0,240.0,106.0,331.0,478.0,110.0,34.0
8573,0,,128.0,161.0,240.0,105.0,331.0,478.0,110.0,34.0
8573,0,,131.0,164.0,240.0,106.0,331.0,478.0,110.0,34.0
8573,0,,96.0,139.0,209.0,90.0,331.0,455.0,110.0,34.0
8573,0,,115.0,149.0,223.0,97.0,331.0,467.0,110.0,34.0
8573,0,,123.0,154.0,231.0,101.0,331.0,474.0,110.0,34.0
8573,0,,127.0,158.0,235.0,103.0,331.0,479.0,110.0,34.0
8573,0,,128.0,158.0,236.0,104.0,331.0,480.0,110.0,34.0
8573,0,,128.0,160.0,239.0,105.0,331.0,478.0,110.0,34.0
8573,0,,130.0,162.0,240.0,105.0,331.0,476.0,110.0,34.0
8573,0,,130.0,161.0,240.0,106.0,332.0,476.0,110.0,34.0
8573,0,,130.0,162.0,240.0,105.0,331.0,477.0,110.0,34.0
8573,0,,129.0,163.0,240.0,106.0,331.0,477.0,110.0,33.0
8573,0,,129.0,163.0,241.0,105.0,332.0,477.0,110.0,32.0
8573,0,,130.0,165.0,241.0,105.0,331.0,478.0,110.0,32.0
8573,0,,130.0,164.0,240.0,105.0,330.0,477.0,110.0,32.0
8573,0,,130.0,164.0,240.0,105.0,331.0,477.0,110.0,33.0
8573,0,,129.0,163.0,240.0,105.0,332.0,477.0,110.0,33.0
8573,0,,130.0,164.0,241.0,106.0,331.0,477.0,110.0,33.0
8573,0,,130.0,164.0,241.0,106.0,332.0,477.0,110.0,33.0
8573,0,,130.0,163.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,163.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,242.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,163.0,241.0,106.0,332.0,478.0,110.0,34.0
8573,0,,131.0,165.0,241.0,106.0,331.0,478.0,110.0,34.0
8573,0,,131.0,165.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,130.0,165.0,241.0,106.0,332.0,478.0,110.0,34.0
8573,0,,131.0,166.0,241.0,106.0,331.0,478.0,110.0,34.0
8573,0,,130.0,164.0,241.0,106.0,331.0,478.0,110.0,34.0
8573,0,,130.0,164.0,241.0,106.0,331.0,476.0,110.0,34.0
8573,0,,132.0,166.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,131.0,164.0,242.0,106.0,331.0,478.0,110.0,34.0
8573,0,,131.0,165.0,242.0,106.0,331.0,477.0,110.0,34.0
8573,0,,131.0,164.0,242.0,106.0,332.0,477.0,110.0,34.0
8573,0,,130.0,164.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,128.0,166.0,242.0,106.0,331.0,479.0,110.0,33.0
8573,0,,130.0,164.0,242.0,106.0,332.0,478.0,110.0,32.0
